Date,bus_rides,rail_boardings,total_rides
1/1/2019,784085,701693,1485778
1/2/2019,747949,685444,1433393
1/3/2019,747850,690162,1438012
1/4/2019,763718,679115,1442833
1/5/2019,382464,325219,707683
1/6/2019,301855,250222,552077
1/7/2019,756590,705571,1462161
1/8/2019,783113,720095,1503208
1/9/2019,800537,728048,1528585
1/10/2019,800348,734929,1535277
1/11/2019,776640,700006,1476646
1/12/2019,337080,312424,649504
1/13/2019,271961,236744,508705
1/14/2019,445534,401503,847037
1/15/2019,757962,712125,1470087
1/16/2019,764136,718899,1483035
1/17/2019,745872,711300,1457172
1/18/2019,568100,590674,1158774
1/19/2019,343625,296063,639688
1/20/2019,258884,221081,479965
1/21/2019,668192,678810,1347002
1/22/2019,581664,579917,1161581
1/23/2019,124154,97917,222071
1/24/2019,282336,243912,526248
1/25/2019,683059,648091,1331150
1/26/2019,435441,345650,781091
1/27/2019,322488,250724,573212
1/28/2019,808055,718764,1526819
1/29/2019,808858,734181,1543039
1/30/2019,799164,727769,1526933
1/31/2019,789342,732351,1521693
2/1/2019,710682,655823,1366505
2/2/2019,423681,338847,762528
2/3/2019,296809,251192,548001
2/4/2019,779386,704667,1484053
2/5/2019,741083,698387,1439470
2/6/2019,795205,728764,1523969
2/7/2019,824482,746611,1571093
2/8/2019,754152,687932,1442084
2/9/2019,438454,362613,801067
2/10/2019,296482,256817,553299
2/11/2019,555501,519409,1074910
2/12/2019,812492,725195,1537687
2/13/2019,779660,717172,1496832
2/14/2019,813056,727504,1540560
2/15/2019,798311,702988,1501299
2/16/2019,406839,328179,735018
2/17/2019,288368,240478,528846
2/18/2019,762857,680844,1443701
2/19/2019,773049,699462,1472511
2/20/2019,797800,711827,1509627
2/21/2019,783920,714700,1498620
2/22/2019,812238,682969,1495207
2/23/2019,454119,349392,803511
2/24/2019,313539,252150,565689
2/25/2019,699086,635353,1334439
2/26/2019,761781,692945,1454726
2/27/2019,790908,708876,1499784
2/28/2019,790299,711428,1501727
3/1/2019,781577,684186,1465763
3/2/2019,409779,326686,736465
3/3/2019,310427,250702,561129
3/4/2019,784354,697758,1482112
3/5/2019,816229,729476,1545705
3/6/2019,785256,727150,1512406
3/7/2019,777417,726502,1503919
3/8/2019,769660,716230,1485890
3/9/2019,468181,570703,1038884
3/10/2019,337661,301294,638955
3/11/2019,786322,711535,1497857
3/12/2019,812217,727732,1539949
3/13/2019,782960,712714,1495674
3/14/2019,795501,719946,1515447
3/15/2019,784281,695716,1479997
3/16/2019,472376,386972,859348
3/17/2019,312958,279989,592947
3/18/2019,761448,666862,1428310
3/19/2019,794453,688849,1483302
3/20/2019,802407,693509,1495916
3/21/2019,782670,692421,1475091
3/22/2019,764086,667916,1432002
3/23/2019,428233,346980,775213
3/24/2019,324724,264228,588952
3/25/2019,825150,707874,1533024
3/26/2019,815370,727263,1542633
3/27/2019,846418,744443,1590861
3/28/2019,791393,735719,1527112
3/29/2019,754962,710414,1465376
3/30/2019,487323,414140,901463
3/31/2019,331229,276992,608221
4/1/2019,823032,754465,1577497
4/2/2019,791556,747311,1538867
4/3/2019,760548,731858,1492406
4/4/2019,771911,746596,1518507
4/5/2019,795077,731825,1526902
4/6/2019,473087,417501,890588
4/7/2019,240601,215007,455608
4/8/2019,694149,679904,1374053
4/9/2019,725056,709023,1434079
4/10/2019,710771,699083,1409854
4/11/2019,654819,675919,1330738
4/12/2019,643329,619953,1263282
4/13/2019,462233,372841,835074
4/14/2019,330270,276935,607205
4/15/2019,767623,692515,1460138
4/16/2019,806358,747351,1553709
4/17/2019,813407,759394,1572801
4/18/2019,820219,770006,1590225
4/19/2019,806103,731398,1537501
4/20/2019,369056,319488,688544
4/21/2019,338518,289270,627788
4/22/2019,729815,673476,1403291
4/23/2019,757497,707685,1465182
4/24/2019,841583,729104,1570687
4/25/2019,787163,728705,1515868
4/26/2019,834369,750517,1584886
4/27/2019,495436,437434,932870
4/28/2019,402463,338727,741190
4/29/2019,803622,724230,1527852
4/30/2019,805130,738981,1544111
5/1/2019,822516,755171,1577687
5/2/2019,810976,751965,1562941
5/3/2019,816268,749306,1565574
5/4/2019,456362,407442,863804
5/5/2019,336476,298999,635475
5/6/2019,783657,704326,1487983
5/7/2019,808863,722423,1531286
5/8/2019,810290,724761,1535051
5/9/2019,768250,714282,1482532
5/10/2019,758399,691390,1449789
5/11/2019,448115,388373,836488
5/12/2019,332006,295929,627935
5/13/2019,781061,721397,1502458
5/14/2019,777647,723782,1501429
5/15/2019,811376,756639,1568015
5/16/2019,801697,766717,1568414
5/17/2019,749827,681443,1431270
5/18/2019,483109,426932,910041
5/19/2019,349368,335435,684803
5/20/2019,298987,256757,555744
5/21/2019,769069,694292,1463361
5/22/2019,791059,717681,1508740
5/23/2019,792091,735508,1527599
5/24/2019,817633,738322,1555955
5/25/2019,473204,379044,852248
5/26/2019,370049,319334,689383
5/27/2019,814607,731571,1546178
5/28/2019,797511,749759,1547270
5/29/2019,817943,764911,1582854
5/30/2019,819351,773638,1592989
5/31/2019,797917,760907,1558824
6/1/2019,517706,469189,986895
6/2/2019,372952,329388,702340
6/3/2019,787528,717811,1505339
6/4/2019,812806,748133,1560939
6/5/2019,768907,722333,1491240
6/6/2019,784003,758006,1542009
6/7/2019,786956,769162,1556118
6/8/2019,447116,419997,867113
6/9/2019,347416,319752,667168
6/10/2019,739714,684609,1424323
6/11/2019,783381,747919,1531300
6/12/2019,762852,735207,1498059
6/13/2019,754094,755009,1509103
6/14/2019,741691,748258,1489949
6/15/2019,485555,468890,954445
6/16/2019,372216,314345,686561
6/17/2019,713826,694599,1408425
6/18/2019,790945,756023,1546968
6/19/2019,778502,758880,1537382
6/20/2019,763256,757999,1521255
6/21/2019,742317,717591,1459908
6/22/2019,507082,438017,945099
6/23/2019,342891,473462,816353
6/24/2019,751938,691817,1443755
6/25/2019,732483,698347,1430830
6/26/2019,761825,694945,1456770
6/27/2019,386135,354474,740609
6/28/2019,593204,492198,1085402
6/29/2019,464539,390851,855390
6/30/2019,365003,328344,693347
7/1/2019,738529,696647,1435176
7/2/2019,760765,733255,1494020
7/3/2019,750223,735504,1485727
7/4/2019,761712,767177,1528889
7/5/2019,738700,777202,1515902
7/6/2019,496000,471671,967671
7/7/2019,386786,362994,749780
7/8/2019,733408,723684,1457092
7/9/2019,736299,746731,1483030
7/10/2019,751727,751160,1502887
7/11/2019,681127,699545,1380672
7/12/2019,700392,721558,1421950
7/13/2019,466646,419897,886543
7/14/2019,360488,342739,703227
7/15/2019,733191,716299,1449490
7/16/2019,754783,731712,1486495
7/17/2019,754694,737880,1492574
7/18/2019,746240,746890,1493130
7/19/2019,728460,713766,1442226
7/20/2019,509542,417935,927477
7/21/2019,399059,314226,713285
7/22/2019,677033,663313,1340346
7/23/2019,744356,721545,1465901
7/24/2019,738630,739592,1478222
7/25/2019,763703,795333,1559036
7/26/2019,740366,804952,1545318
7/27/2019,497883,512548,1010431
7/28/2019,375863,416740,792603
7/29/2019,727517,724021,1451538
7/30/2019,737702,738151,1475853
7/31/2019,745371,746207,1491578
8/1/2019,746213,735310,1481523
8/2/2019,720081,716084,1436165
8/3/2019,490001,428555,918556
8/4/2019,376464,321310,697774
8/5/2019,672626,659442,1332068
8/6/2019,715539,697693,1413232
8/7/2019,708180,698339,1406519
8/8/2019,723069,703513,1426582
8/9/2019,699501,675393,1374894
8/10/2019,456968,396155,853123
8/11/2019,330848,289890,620738
8/12/2019,697759,669727,1367486
8/13/2019,670195,689224,1359419
8/14/2019,732929,724089,1457018
8/15/2019,739175,741995,1481170
8/16/2019,720876,723775,1444651
8/17/2019,499355,424284,923639
8/18/2019,395847,327749,723596
8/19/2019,693566,678343,1371909
8/20/2019,776670,740341,1517011
8/21/2019,772893,736506,1509399
8/22/2019,769645,747141,1516786
8/23/2019,761440,717490,1478930
8/24/2019,482463,428658,911121
8/25/2019,379610,357032,736642
8/26/2019,374967,328376,703343
8/27/2019,821674,738399,1560073
8/28/2019,861286,762868,1624154
8/29/2019,853186,800432,1653618
8/30/2019,821645,744323,1565968
8/31/2019,486423,420502,906925
9/1/2019,344385,310823,655208
9/2/2019,829266,737160,1566426
9/3/2019,856513,769458,1625971
9/4/2019,848169,777407,1625576
9/5/2019,845028,795224,1640252
9/6/2019,822197,800812,1623009
9/7/2019,498571,487396,985967
9/8/2019,353264,352467,705731
9/9/2019,825739,777685,1603424
9/10/2019,856186,797063,1653249
9/11/2019,859904,807081,1666985
9/12/2019,845624,816086,1661710
9/13/2019,830757,803291,1634048
9/14/2019,489155,440464,929619
9/15/2019,338418,299658,638076
9/16/2019,832762,766712,1599474
9/17/2019,850825,780378,1631203
9/18/2019,859089,781453,1640542
9/19/2019,853333,791418,1644751
9/20/2019,734962,699996,1434958
9/21/2019,476234,401745,877979
9/22/2019,358174,294350,652524
9/23/2019,850333,738159,1588492
9/24/2019,905477,772082,1677559
9/25/2019,844694,765652,1610346
9/26/2019,885919,781701,1667620
9/27/2019,851906,740946,1592852
9/28/2019,492689,388710,881399
9/29/2019,403747,306647,710394
9/30/2019,845146,748413,1593559
10/1/2019,868009,773805,1641814
10/2/2019,857532,766121,1623653
10/3/2019,855556,803767,1659323
10/4/2019,776609,762011,1538620
10/5/2019,480048,470284,950332
10/6/2019,319885,522816,842701
10/7/2019,666607,698402,1365009
10/8/2019,844826,788101,1632927
10/9/2019,845543,782133,1627676
10/10/2019,787285,790202,1577487
10/11/2019,762811,778466,1541277
10/12/2019,499700,467794,967494
10/13/2019,377822,340156,717978
10/14/2019,739027,727743,1466770
10/15/2019,772142,750644,1522786
10/16/2019,789783,791468,1581251
10/17/2019,790853,766559,1557412
10/18/2019,757907,729221,1487128
10/19/2019,412819,356371,769190
10/20/2019,390090,314740,704830
10/21/2019,762580,729809,1492389
10/22/2019,781400,752054,1533454
10/23/2019,733054,721966,1455020
10/24/2019,698934,693962,1392896
10/25/2019,798542,719267,1517809
10/26/2019,467877,381954,849831
10/27/2019,356367,310621,666988
10/28/2019,848867,749735,1598602
10/29/2019,855055,769233,1624288
10/30/2019,840399,762015,1602414
10/31/2019,821063,768460,1589523
11/1/2019,718820,702518,1421338
11/2/2019,479816,386355,866171
11/3/2019,353042,292170,645212
11/4/2019,590714,604475,1195189
11/5/2019,756604,724448,1481052
11/6/2019,762247,729140,1491387
11/7/2019,764328,745044,1509372
11/8/2019,794430,732607,1527037
11/9/2019,467987,398924,866911
11/10/2019,340985,280372,621357
11/11/2019,807951,731335,1539286
11/12/2019,822152,755257,1577409
11/13/2019,839934,756096,1596030
11/14/2019,790016,752762,1542778
11/15/2019,817445,782838,1600283
11/16/2019,468337,443394,911731
11/17/2019,358133,301849,659982
11/18/2019,810928,721624,1532552
11/19/2019,791651,707015,1498666
11/20/2019,669245,576379,1245624
11/21/2019,244233,186732,430965
11/22/2019,480801,373012,853813
11/23/2019,386439,302733,689172
11/24/2019,315646,257317,572963
11/25/2019,803894,702424,1506318
11/26/2019,849440,732651,1582091
11/27/2019,837738,739104,1576842
11/28/2019,833516,761399,1594915
11/29/2019,799551,729231,1528782
11/30/2019,472207,404394,876601
12/1/2019,347917,286023,633940
12/2/2019,786431,690443,1476874
12/3/2019,770888,697269,1468157
12/4/2019,753922,692730,1446652
12/5/2019,787393,716707,1504100
12/6/2019,788504,704438,1492942
12/7/2019,471203,367508,838711
12/8/2019,348516,255659,604175
12/9/2019,743694,648766,1392460
12/10/2019,765207,678194,1443401
12/11/2019,734493,658439,1392932
12/12/2019,745959,664554,1410513
12/13/2019,731997,640236,1372233
12/14/2019,454167,356991,811158
12/15/2019,350959,283094,634053
12/16/2019,601685,501524,1103209
12/17/2019,462098,310604,772702
12/18/2019,200121,133009,333130
12/19/2019,517911,402948,920859
12/20/2019,552198,445835,998033
12/21/2019,394869,298646,693515
12/22/2019,315428,251105,566533
12/23/2019,544713,480721,1025434
12/24/2019,511289,431677,942966
12/25/2019,267300,255759,523059
12/26/2019,651421,565139,1216560
12/27/2019,688165,578202,1266367
12/28/2019,409243,306656,715899
12/29/2019,314424,234155,548579
12/30/2019,750349,659521,1409870
12/31/2019,775765,677497,1453262
1/1/2020,744261,665227,1409488
1/2/2020,758063,679244,1437307
1/3/2020,753866,654344,1408210
1/4/2020,345787,281493,627280
1/5/2020,294457,237736,532193
1/6/2020,775861,699927,1475788
1/7/2020,807239,720277,1527516
1/8/2020,794821,720057,1514878
1/9/2020,774375,715978,1490353
1/10/2020,737073,687789,1424862
1/11/2020,371460,319878,691338
1/12/2020,256029,219005,475034
1/13/2020,477995,410324,888319
1/14/2020,789718,712386,1502104
1/15/2020,794213,715399,1509612
1/16/2020,768601,717469,1486070
1/17/2020,745526,677320,1422846
1/18/2020,408051,320905,728956
1/19/2020,318824,241153,559977
1/20/2020,790014,697371,1487385
1/21/2020,802484,715500,1517984
1/22/2020,793740,711177,1504917
1/23/2020,787640,718793,1506433
1/24/2020,735622,665472,1401094
1/25/2020,449112,325925,775037
1/26/2020,352056,253149,605205
1/27/2020,816538,689308,1505846
1/28/2020,806946,710072,1517018
1/29/2020,802795,707772,1510567
1/30/2020,761859,701795,1463654
1/31/2020,778480,676805,1455285
2/1/2020,456540,325289,781829
2/2/2020,310705,223411,534116
2/3/2020,799851,694168,1494019
2/4/2020,819275,717350,1536625
2/5/2020,785838,697300,1483138
2/6/2020,746798,689019,1435817
2/7/2020,674960,628729,1303689
2/8/2020,408435,326795,735230
2/9/2020,338343,267790,606133
2/10/2020,567523,502927,1070450
2/11/2020,815098,711305,1526403
2/12/2020,804097,707598,1511695
2/13/2020,778698,700575,1479273
2/14/2020,782853,675973,1458826
2/15/2020,463771,344117,807888
2/16/2020,357784,260505,618289
2/17/2020,789498,682036,1471534
2/18/2020,781725,693749,1475474
2/19/2020,756936,682501,1439437
2/20/2020,778992,698886,1477878
2/21/2020,786008,665937,1451945
2/22/2020,458601,337983,796584
2/23/2020,357257,267438,624695
2/24/2020,785700,666046,1451746
2/25/2020,834640,701777,1536417
2/26/2020,815420,699192,1514612
2/27/2020,803260,698732,1501992
2/28/2020,767084,655010,1422094
2/29/2020,455672,366530,822202
3/1/2020,343291,269577,612868
3/2/2020,736013,647602,1383615
3/3/2020,787025,678996,1466021
3/4/2020,767610,660739,1428349
3/5/2020,737628,601682,1339310
3/6/2020,674594,496474,1171068
3/7/2020,347925,235841,583766
3/8/2020,256591,166575,423166
3/9/2020,493179,284844,778023
3/10/2020,390091,217294,607385
3/11/2020,320242,179316,499558
3/12/2020,305501,163013,468514
3/13/2020,303882,152797,456679
3/14/2020,185406,86695,272101
3/15/2020,113282,60490,173772
3/16/2020,212121,103992,316113
3/17/2020,220319,105312,325631
3/18/2020,229414,106913,336327
3/19/2020,211746,100860,312606
3/20/2020,220715,102714,323429
3/21/2020,144561,68572,213133
3/22/2020,111188,57736,168924
3/23/2020,208762,96996,305758
3/24/2020,200537,94709,295246
